episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-342.091,-402.073,-370.98490909090907,522.0,11,5742,False,5742,11,1,c6d5468d851f4a139cdb47c63e658885,2020-03-17_21-43-47,1584506627,8.823567390441895,8.823567390441895,18176,Francesco-PC,132.239.10.91,8.823567390441895,5742,1,"[-377.079, -366.065, -389.078, -357.068, -342.091, -377.065, -402.073, -393.084, -352.069, -363.065, -362.097]","[534, 510, 543, 506, 478, 551, 550, 550, 500, 501, 519]",0.7554886381748169,0.30829470999872327,1.2113149540080885,5632,5742,3917.901,93.057,3657.288,1092.832,71.66923076923075,72.38461538461539,0.20000000298023224,9.999999747378752e-05,4054.0627,-0.08970664,4054.142,0.09855947,0.050931644,2.1633346,0.0
-316.117,-443.06600000000003,-369.8019090909091,523.2727272727273,11,5770,False,11512,22,2,c6d5468d851f4a139cdb47c63e658885,2020-03-17_21-43-53,1584506633,5.26991605758667,14.093483448028564,18176,Francesco-PC,132.239.10.91,14.093483448028564,11512,2,"[-371.096, -365.049, -336.069, -380.071, -428.056, -348.068, -382.026, -324.134, -316.117, -361.05600000000004, -443.06600000000003, -377.079, -366.065, -389.078, -357.068, -342.091, -377.065, -402.073, -393.084, -352.069, -363.065, -362.097]","[534, 518, 493, 526, 564, 535, 509, 506, 497, 517, 571, 534, 510, 543, 506, 478, 551, 550, 550, 500, 501, 519]",0.7385057754986792,0.30341795781095693,1.158007385719464,11392,11512,3039.767,54.56,3368.262,548.489,64.275,72.6625,0.30000001192092896,9.999999747378752e-05,3389.1692,-0.10380905,3389.2617,0.25477892,0.036700245,2.154705,0.0
-316.117,-443.06600000000003,-364.7985454545455,518.8181818181819,11,5609,False,17121,33,3,c6d5468d851f4a139cdb47c63e658885,2020-03-17_21-43-58,1584506638,5.053362607955933,19.146846055984497,18176,Francesco-PC,132.239.10.91,19.146846055984497,17121,3,"[-396.029, -318.048, -335.079, -318.049, -369.05600000000004, -337.08500000000004, -352.072, -404.048, -402.04200000000003, -334.113, -337.089, -377.079, -366.065, -389.078, -357.068, -342.091, -377.065, -402.073, -393.084, -352.069, -363.065, -362.097, -371.096, -365.049, -336.069, -380.071, -428.056, -348.068, -382.026, -324.134, -316.117, -361.05600000000004, -443.06600000000003]","[528, 467, 493, 494, 521, 503, 541, 529, 520, 490, 523, 534, 510, 543, 506, 478, 551, 550, 550, 500, 501, 519, 534, 518, 493, 526, 564, 535, 509, 506, 497, 517, 571]",0.7296227733856916,0.30148141262949546,1.1297400511917395,16896,17121,2719.612,40.822,3228.884,367.047,65.74285714285715,72.7,0.44999998807907104,9.999999747378752e-05,2614.3938,-0.11207187,2614.4927,0.31470162,0.02910876,2.1689274,0.0
-293.132,-452.071,-364.5615111111111,518.2666666666667,12,6201,False,23322,45,4,c6d5468d851f4a139cdb47c63e658885,2020-03-17_21-44-03,1584506643,5.633962869644165,24.780808925628662,18176,Francesco-PC,132.239.10.91,24.780808925628662,23322,4,"[-315.058, -326.065, -423.049, -337.068, -313.089, -382.093, -351.087, -375.129, -422.039, -452.071, -293.132, -377.036, -377.079, -366.065, -389.078, -357.068, -342.091, -377.065, -402.073, -393.084, -352.069, -363.065, -362.097, -371.096, -365.049, -336.069, -380.071, -428.056, -348.068, -382.026, -324.134, -316.117, -361.05600000000004, -443.06600000000003, -396.029, -318.048, -335.079, -318.049, -369.05600000000004, -337.08500000000004, -352.072, -404.048, -402.04200000000003, -334.113, -337.089]","[497, 480, 533, 506, 469, 549, 496, 563, 532, 583, 469, 524, 534, 510, 543, 506, 478, 551, 550, 550, 500, 501, 519, 534, 518, 493, 526, 564, 535, 509, 506, 497, 517, 571, 528, 467, 493, 494, 521, 503, 541, 529, 520, 490, 523]",0.7268872060671944,0.3006936019614828,1.1138209888081152,23040,23322,2614.857,35.274,3247.072,276.214,68.025,72.77499999999999,0.675000011920929,9.999999747378752e-05,1799.29,-0.12892534,1799.403,0.4395726,0.023677142,2.1666481,0.0
-293.071,-452.071,-362.1625357142857,516.3035714285714,11,5591,False,28913,56,5,c6d5468d851f4a139cdb47c63e658885,2020-03-17_21-44-08,1584506648,5.052289962768555,29.833098888397217,18176,Francesco-PC,132.239.10.91,29.833098888397217,28913,5,"[-345.1, -341.08799999999997, -347.084, -371.093, -321.08900000000006, -347.062, -373.1, -405.025, -395.051, -337.071, -293.071, -377.079, -366.065, -389.078, -357.068, -342.091, -377.065, -402.073, -393.084, -352.069, -363.065, -362.097, -371.096, -365.049, -336.069, -380.071, -428.056, -348.068, -382.026, -324.134, -316.117, -361.05600000000004, -443.06600000000003, -396.029, -318.048, -335.079, -318.049, -369.05600000000004, -337.08500000000004, -352.072, -404.048, -402.04200000000003, -334.113, -337.089, -315.058, -326.065, -423.049, -337.068, -313.089, -382.093, -351.087, -375.129, -422.039, -452.071, -293.132, -377.036]","[515, 502, 517, 523, 476, 493, 525, 531, 532, 515, 462, 534, 510, 543, 506, 478, 551, 550, 550, 500, 501, 519, 534, 518, 493, 526, 564, 535, 509, 506, 497, 517, 571, 528, 467, 493, 494, 521, 503, 541, 529, 520, 490, 523, 497, 480, 533, 506, 469, 549, 496, 563, 532, 583, 469, 524]",0.7246546588225112,0.2998620047506549,1.1020507574438698,28544,28913,2507.989,29.182,3189.204,221.708,66.78571428571429,72.8,1.0125000476837158,9.999999747378752e-05,897.2271,-0.13302328,897.33887,0.59852904,0.020941855,2.1779451,0.0
-293.071,-452.071,-359.98229850746264,514.3582089552239,11,5549,False,34462,67,6,c6d5468d851f4a139cdb47c63e658885,2020-03-17_21-44-13,1584506653,5.064943790435791,34.89804267883301,18176,Francesco-PC,132.239.10.91,34.89804267883301,34462,6,"[-407.076, -296.028, -322.091, -417.068, -388.043, -358.068, -327.07, -339.091, -313.08, -303.047, -367.05, -377.079, -366.065, -389.078, -357.068, -342.091, -377.065, -402.073, -393.084, -352.069, -363.065, -362.097, -371.096, -365.049, -336.069, -380.071, -428.056, -348.068, -382.026, -324.134, -316.117, -361.05600000000004, -443.06600000000003, -396.029, -318.048, -335.079, -318.049, -369.05600000000004, -337.08500000000004, -352.072, -404.048, -402.04200000000003, -334.113, -337.089, -315.058, -326.065, -423.049, -337.068, -313.089, -382.093, -351.087, -375.129, -422.039, -452.071, -293.132, -377.036, -345.1, -341.08799999999997, -347.084, -371.093, -321.08900000000006, -347.062, -373.1, -405.025, -395.051, -337.071, -293.071]","[555, 460, 500, 542, 526, 521, 495, 488, 483, 463, 516, 534, 510, 543, 506, 478, 551, 550, 550, 500, 501, 519, 534, 518, 493, 526, 564, 535, 509, 506, 497, 517, 571, 528, 467, 493, 494, 521, 503, 541, 529, 520, 490, 523, 497, 480, 533, 506, 469, 549, 496, 563, 532, 583, 469, 524, 515, 502, 517, 523, 476, 493, 525, 531, 532, 515, 462]",0.7227827623770577,0.299050099184504,1.0926154232555394,34048,34462,2440.388,24.847,3148.861,185.385,66.3375,72.8,1.5187499523162842,9.999999747378752e-05,455.20758,-0.1288064,455.3114,0.7029442,0.016395604,2.1196969,0.0
-293.071,-452.071,-361.99519230769226,515.5897435897435,11,5754,False,40216,78,7,c6d5468d851f4a139cdb47c63e658885,2020-03-17_21-44-19,1584506659,5.181002140045166,40.079044818878174,18176,Francesco-PC,132.239.10.91,40.079044818878174,40216,7,"[-365.04200000000003, -350.082, -350.097, -428.06600000000003, -378.053, -410.077, -397.087, -333.058, -408.062, -344.101, -353.086, -377.079, -366.065, -389.078, -357.068, -342.091, -377.065, -402.073, -393.084, -352.069, -363.065, -362.097, -371.096, -365.049, -336.069, -380.071, -428.056, -348.068, -382.026, -324.134, -316.117, -361.05600000000004, -443.06600000000003, -396.029, -318.048, -335.079, -318.049, -369.05600000000004, -337.08500000000004, -352.072, -404.048, -402.04200000000003, -334.113, -337.089, -315.058, -326.065, -423.049, -337.068, -313.089, -382.093, -351.087, -375.129, -422.039, -452.071, -293.132, -377.036, -345.1, -341.08799999999997, -347.084, -371.093, -321.08900000000006, -347.062, -373.1, -405.025, -395.051, -337.071, -293.071, -407.076, -296.028, -322.091, -417.068, -388.043, -358.068, -327.07, -339.091, -313.08, -303.047, -367.05]","[509, 517, 512, 538, 546, 543, 521, 495, 524, 529, 520, 534, 510, 543, 506, 478, 551, 550, 550, 500, 501, 519, 534, 518, 493, 526, 564, 535, 509, 506, 497, 517, 571, 528, 467, 493, 494, 521, 503, 541, 529, 520, 490, 523, 497, 480, 533, 506, 469, 549, 496, 563, 532, 583, 469, 524, 515, 502, 517, 523, 476, 493, 525, 531, 532, 515, 462, 555, 460, 500, 542, 526, 521, 495, 488, 483, 463, 516]",0.7219775639241592,0.2984451076866288,1.085553356114954,39680,40216,2399.738,21.913,3129.049,159.493,66.25714285714285,72.8,1.5187499523162842,9.999999747378752e-05,233.6735,-0.12975326,233.77832,0.7937159,0.016393,2.1151147,0.0
-293.071,-452.071,-360.6889662921348,514.5505617977528,11,5579,False,45795,89,8,c6d5468d851f4a139cdb47c63e658885,2020-03-17_21-44-24,1584506664,5.167342662811279,45.24638748168945,18176,Francesco-PC,132.239.10.91,45.24638748168945,45795,8,"[-440.022, -349.077, -331.047, -343.10699999999997, -360.044, -362.08799999999997, -306.04200000000003, -313.028, -336.098, -331.095, -394.04499999999996, -377.079, -366.065, -389.078, -357.068, -342.091, -377.065, -402.073, -393.084, -352.069, -363.065, -362.097, -371.096, -365.049, -336.069, -380.071, -428.056, -348.068, -382.026, -324.134, -316.117, -361.05600000000004, -443.06600000000003, -396.029, -318.048, -335.079, -318.049, -369.05600000000004, -337.08500000000004, -352.072, -404.048, -402.04200000000003, -334.113, -337.089, -315.058, -326.065, -423.049, -337.068, -313.089, -382.093, -351.087, -375.129, -422.039, -452.071, -293.132, -377.036, -345.1, -341.08799999999997, -347.084, -371.093, -321.08900000000006, -347.062, -373.1, -405.025, -395.051, -337.071, -293.071, -407.076, -296.028, -322.091, -417.068, -388.043, -358.068, -327.07, -339.091, -313.08, -303.047, -367.05, -365.04200000000003, -350.082, -350.097, -428.06600000000003, -378.053, -410.077, -397.087, -333.058, -408.062, -344.101, -353.086]","[566, 501, 500, 505, 520, 524, 459, 470, 491, 508, 535, 534, 510, 543, 506, 478, 551, 550, 550, 500, 501, 519, 534, 518, 493, 526, 564, 535, 509, 506, 497, 517, 571, 528, 467, 493, 494, 521, 503, 541, 529, 520, 490, 523, 497, 480, 533, 506, 469, 549, 496, 563, 532, 583, 469, 524, 515, 502, 517, 523, 476, 493, 525, 531, 532, 515, 462, 555, 460, 500, 542, 526, 521, 495, 488, 483, 463, 516, 509, 517, 512, 538, 546, 543, 521, 495, 524, 529, 520]",0.7214926213486875,0.29789775807839414,1.0796502170437268,45184,45795,2365.212,19.686,3116.327,140.068,68.64285714285714,72.82857142857144,1.5187499523162842,9.999999747378752e-05,60.543785,-0.1365292,60.653404,0.9393135,0.01772298,2.1175017,0.0
-293.071,-452.071,-357.9413599999999,513.31,12,6070,False,51865,101,9,c6d5468d851f4a139cdb47c63e658885,2020-03-17_21-44-29,1584506669,5.522145986557007,50.76853346824646,18176,Francesco-PC,132.239.10.91,50.76853346824646,51865,9,"[-328.021, -340.089, -378.049, -356.092, -342.067, -360.036, -309.095, -334.046, -313.099, -337.101, -323.118, -349.084, -366.065, -389.078, -357.068, -342.091, -377.065, -402.073, -393.084, -352.069, -363.065, -362.097, -371.096, -365.049, -336.069, -380.071, -428.056, -348.068, -382.026, -324.134, -316.117, -361.05600000000004, -443.06600000000003, -396.029, -318.048, -335.079, -318.049, -369.05600000000004, -337.08500000000004, -352.072, -404.048, -402.04200000000003, -334.113, -337.089, -315.058, -326.065, -423.049, -337.068, -313.089, -382.093, -351.087, -375.129, -422.039, -452.071, -293.132, -377.036, -345.1, -341.08799999999997, -347.084, -371.093, -321.08900000000006, -347.062, -373.1, -405.025, -395.051, -337.071, -293.071, -407.076, -296.028, -322.091, -417.068, -388.043, -358.068, -327.07, -339.091, -313.08, -303.047, -367.05, -365.04200000000003, -350.082, -350.097, -428.06600000000003, -378.053, -410.077, -397.087, -333.058, -408.062, -344.101, -353.086, -440.022, -349.077, -331.047, -343.10699999999997, -360.044, -362.08799999999997, -306.04200000000003, -313.028, -336.098, -331.095, -394.04499999999996]","[487, 505, 531, 530, 505, 533, 485, 490, 497, 519, 488, 500, 510, 543, 506, 478, 551, 550, 550, 500, 501, 519, 534, 518, 493, 526, 564, 535, 509, 506, 497, 517, 571, 528, 467, 493, 494, 521, 503, 541, 529, 520, 490, 523, 497, 480, 533, 506, 469, 549, 496, 563, 532, 583, 469, 524, 515, 502, 517, 523, 476, 493, 525, 531, 532, 515, 462, 555, 460, 500, 542, 526, 521, 495, 488, 483, 463, 516, 509, 517, 512, 538, 546, 543, 521, 495, 524, 529, 520, 566, 501, 500, 505, 520, 524, 459, 470, 491, 508, 535]",0.7215148190077145,0.29754540999016826,1.0739439430286386,51200,51865,2355.749,18.663,3127.945,124.911,70.5375,73.1,1.5187499523162842,9.999999747378752e-05,10.120279,-0.12877546,10.224734,0.98681533,0.01601383,2.1116815,0.0
-293.071,-452.071,-354.29237000000006,510.59,12,5988,False,57853,113,10,c6d5468d851f4a139cdb47c63e658885,2020-03-17_21-44-35,1584506675,5.316663980484009,56.08519744873047,18176,Francesco-PC,132.239.10.91,56.08519744873047,57853,10,"[-329.099, -299.101, -323.07, -437.063, -334.09000000000003, -327.091, -333.095, -336.03200000000004, -316.105, -381.029, -332.12, -327.106, -336.069, -380.071, -428.056, -348.068, -382.026, -324.134, -316.117, -361.05600000000004, -443.06600000000003, -396.029, -318.048, -335.079, -318.049, -369.05600000000004, -337.08500000000004, -352.072, -404.048, -402.04200000000003, -334.113, -337.089, -315.058, -326.065, -423.049, -337.068, -313.089, -382.093, -351.087, -375.129, -422.039, -452.071, -293.132, -377.036, -345.1, -341.08799999999997, -347.084, -371.093, -321.08900000000006, -347.062, -373.1, -405.025, -395.051, -337.071, -293.071, -407.076, -296.028, -322.091, -417.068, -388.043, -358.068, -327.07, -339.091, -313.08, -303.047, -367.05, -365.04200000000003, -350.082, -350.097, -428.06600000000003, -378.053, -410.077, -397.087, -333.058, -408.062, -344.101, -353.086, -440.022, -349.077, -331.047, -343.10699999999997, -360.044, -362.08799999999997, -306.04200000000003, -313.028, -336.098, -331.095, -394.04499999999996, -328.021, -340.089, -378.049, -356.092, -342.067, -360.036, -309.095, -334.046, -313.099, -337.101, -323.118, -349.084]","[498, 486, 477, 545, 498, 504, 492, 492, 494, 507, 487, 508, 493, 526, 564, 535, 509, 506, 497, 517, 571, 528, 467, 493, 494, 521, 503, 541, 529, 520, 490, 523, 497, 480, 533, 506, 469, 549, 496, 563, 532, 583, 469, 524, 515, 502, 517, 523, 476, 493, 525, 531, 532, 515, 462, 555, 460, 500, 542, 526, 521, 495, 488, 483, 463, 516, 509, 517, 512, 538, 546, 543, 521, 495, 524, 529, 520, 566, 501, 500, 505, 520, 524, 459, 470, 491, 508, 535, 487, 505, 531, 530, 505, 533, 485, 490, 497, 519, 488, 500]",0.7183726978236435,0.29624866670630345,1.0555422938732786,57088,57853,2338.258,17.215,3127.019,112.82,69.525,73.1,1.5187499523162842,9.999999747378752e-05,24.919031,-0.10799288,25.008678,0.96761656,0.012077289,2.1324265,0.0
